ID,Pedigree,DYSKIN,EASPIN,EPPIN,PLHTIN,PLHTUN,PLSTIN,STRCO1,STRCO2,STRRAT1,STRRAT2,YLDIN
43,(TZECOMP5-Y-C7-S3-56-B*4/TZECOMP5-25-1-1-3-#-2-B*4)-43-1-BB-B,63.331,3.063,0.79549,130.625,139.000,16.375,49.375,64.750,3.500,6.125,1973.560
44,(TZECOMP5-Y-C7-S3-150-B*4/TZECOMP5-25-1-1-3-#-2-B*4)-9-1-BB-B,62.875,2.875,0.97096,131.875,134.625,13.000,28.125,34.125,3.625,5.750,1841.640
45,(TZECOMP5-Y-C7-S3-150-B*4/TZECOMP5-25-1-1-3-#-2-B*4)-10-1-BB-B,63.625,3.063,0.87821,120.500,128.375,16.500,23.625,45.250,3.875,5.750,1722.690
46,(TZECOMP5-Y-C7-S3-150-B*4/TZECOMP5-Y-C7-S3-56-B*4)-65-1-BB-B,64.000,2.750,0.96603,126.375,130.625,15.625,14.625,27.875,3.875,5.375,2155.820
47,(TZECOMP5-Y-C7-S3-150-B*4/TZECOMP5-Y-C7-S3-56-B*4)-42-1-BB-B,62.285,2.248,1.11017,139.189,149.612,15.543,9.905,14.222,3.482,4.746,3770.290
48,(KU1409/DE3/KU1409)S2-27-B*4/ACR97TZL-CCOMP1-Y-S3-40-3-B*6-6-B-1-B,64.875,3.438,0.75172,122.500,133.750,13.125,19.375,25.000,4.625,6.250,1162.460
49,(KU1409/DE3/KU1409)S2-18-2-BBB/ACR97TZL-CCOMP1-Y-S3-35-2-B*8-12-2-1-B,61.750,2.938,1.11529,117.750,130.500,15.375,15.750,26.625,3.000,4.750,1875.070
50,(KU1409/DE3/KU1409)S2-18-2-BBB/ACR97TZL-CCOMP1-Y-S3-35-2-B*8-82-3-3-B,61.000,2.938,0.79642,102.000,99.250,15.375,26.125,44.875,3.375,5.750,1476.120
51,(KU1409/DE3/KU1409)S2-18-2-BBB/ACR97TZL-CCOMP1-Y-S3-35-2-B*8-40-B-1-B,64.750,3.000,1.07386,145.375,147.375,15.875,28.625,44.500,2.750,5.000,1718.900
52,(KU1409/DE3/KU1409)S2-6-B*4/ACR97TZL-CCOMP1-Y-S3-33-6-B*6-32-2-1-B,62.875,2.813,0.80502,118.250,122.375,14.875,32.625,57.000,3.250,5.500,1671.830
53,(ZDiploBC4-19-4-1-#-3-1-B-1-BxPioneerIRxZDiploBC4-19-4-1-#-3-1-B-1-B)-4-1-2-1-B*9,67.705,3.063,0.73152,127.750,124.750,15.875,6.500,11.125,3.375,5.375,1486.960
54,9450xPioneerIRx9450BC1-1-23-1-4-B*10,67.125,2.813,0.8451,126.500,137.750,16.625,14.500,18.250,3.500,5.125,2332.220
55,(ZDiploBC4-19-4-1-#-3-1-B-1-BxPioneerIRxZDiploBC4-19-4-1-#-3-1-B-1-B)-4-2-1-6-B*9,64.000,2.500,0.90002,116.750,118.625,16.250,26.625,37.750,3.875,5.625,2018.430
56,(CML181/ZdiploBC4-472-2-3-4-3-B-3-BBB)-38-B*11,62.625,2.438,0.91285,108.250,110.625,16.125,17.125,26.250,3.000,5.000,2260.670
57,(CML181/ZdiploBC4-472-2-2-1-2-3-B*5)-23-B*11,66.617,3.125,0.6027,127.125,132.875,16.125,15.750,28.125,5.000,6.500,1294.580
58,(CML181/ZDiploBC4-472-2-2-1-6-4-B-1-B*5)-15-B*11,60.000,3.188,0.52833,109.000,127.750,15.375,55.000,71.125,6.000,7.250,1378.790
59,9071STR  ,54.314,4.000,0.2988,130.250,132.875,14.000,58.000,69.375,5.625,8.000,399.980
60,TZL Comp. IC4 S1-38-5-B-B-B,62.875,2.688,0.83844,105.875,115.875,16.000,19.625,34.750,3.625,5.250,1865.450
61,Z.diplo.BC4-472-2-2-1-2-3-B-B-B-B-B,64.750,2.688,0.83018,124.125,128.875,15.250,1.500,7.625,2.625,4.125,2427.720
62,Z.diplo.BC4-376-1-1-#-3-1-B-2-B-B,64.250,2.938,0.69087,145.625,166.875,15.875,30.250,46.875,3.375,6.500,2424.000
63,Z.Diplo.BC4-472-2-3-1-1-B-1-B-B-B-B-B,61.250,2.875,0.90251,119.500,132.125,16.625,14.250,26.750,4.000,5.875,1886.320
64,Z. Diplo.BC4-472-2-1-1-2-1-B-1-B-B-B-B,62.625,2.625,0.9012,109.625,113.125,16.375,26.500,46.250,3.625,5.125,2287.400
65,ACR97SYN-Y-S1-24-B-B-B,65.125,2.938,0.80864,123.625,137.250,16.000,19.375,35.375,3.375,5.250,1977.910
66,SYN-W-S2-99-B-B-B,65.250,2.875,0.74907,114.625,138.750,15.250,17.125,30.625,3.875,5.500,1579.240
67,TZE COMP5-25-1-1-3-#-2-B-B-B,62.000,2.750,1.01783,112.875,127.000,16.250,72.500,87.875,3.375,5.125,2792.930
68,TZEComp.5-Y-20-1-1-3-#-2-B-B-B-B,61.250,2.938,0.71483,112.750,125.625,16.000,32.500,42.000,4.125,6.375,1527.800
69,TZECOMP5-Y-C7-S3-55-B-B-B,63.125,2.813,0.98162,124.500,133.375,15.125,27.875,41.500,3.750,5.500,2074.660
70,TZECOMP5-Y-C7-S3-56-B-B-B,60.375,2.875,0.75009,114.125,121.250,16.625,59.875,80.500,5.250,7.250,2173.120
71,TZE Comp.5-Y-21-1-1-2-#-B-B-B-B,61.000,3.188,0.65732,112.250,120.875,16.000,19.125,26.250,4.125,6.125,1639.690
72,TZECOMP5-Y-C7-S3-150-B-B-B,60.500,3.375,0.80729,104.375,120.250,14.250,22.625,36.875,5.500,7.250,1261.530
73,ZDiploBC4-467-4-1-2-1-1-B-1-B*6,67.750,3.313,0.63387,149.000,158.125,16.375,7.750,17.625,3.375,6.250,1690.360
74,ZdiploBC4-472-2-3-4-3-B-2-B*8,64.000,2.625,0.99744,127.375,133.875,15.875,10.500,17.750,3.125,5.000,2152.700
75,ACRSYN-W-S2-173-B*7,63.875,3.250,0.75039,125.375,125.875,15.000,16.750,33.125,3.875,5.125,1437.520
76,Syn-Y-STR-(43-2)-1-1-5-1-B*6,66.375,2.875,0.8339,129.000,144.250,16.125,17.875,34.250,3.500,5.750,2187.340
77,ACR97TZL-CCOMP1-Y-S3-34-2-B*9,63.625,2.688,0.91158,125.625,132.875,15.375,23.250,36.500,3.250,5.250,2114.000
78,ZeaDiploBC4-WC3-74-1-3-B*7,65.331,3.563,0.46896,120.875,139.250,15.750,32.750,48.375,5.500,7.375,925.340
79,5057xB73LPAx5057-30-1-4-B*8,66.331,3.250,0.66667,113.875,130.375,15.750,23.250,35.500,3.625,5.875,1469.610
80,STRLowEmergPoolCOS3670-1-5-3-3-B-1-B*11,62.250,3.125,0.75,135.625,137.625,16.000,10.875,12.375,4.875,6.250,1242.550
